Address,Latitude,Longitude,APC,LP,PDP,NNPP
"AMAOKPOLO SQUARE I, AYAMELUM, ANAMBRA",6.0454448,7.0955675,0,111,2,1
"UMUDIE SQUARE II, AYAMELUM, ANAMBRA",6.4878428,6.9638624,0,125,0,0
"UMUDIE SQUARE III, AYAMELUM, ANAMBRA",6.4878428,6.9638624,0,202,0,0
"OGWARI PRIMARY SCHOOL III (UMUAWA SQUARE III), AYAMELUM, ANAMBRA",6.6059302,6.953144,0,117,10,0
"OGWARI PRIMARY SCHOOL III (UMUAWA SQUARE III), AYAMELUM, ANAMBRA",6.6059302,6.953144,0,159,7,1
"OYE MARKET SQUARE II, AYAMELUM, ANAMBRA",6.7354998,7.012289,0,92,13,0
"AMA/AMA I, AYAMELUM, ANAMBRA",6.4878428,6.9638624,3,88,4,0
"AMA/AMA II, AYAMELUM, ANAMBRA",6.4878428,6.9638624,9,83,2,0
"ISIACHAELLE VILLAGE HALL II (UMUEREAKAGBA II), AYAMELUM, ANAMBRA",6.4878428,6.9638624,0,0,0,0
"AMA AMIKWETITI II, AYAMELUM, ANAMBRA",6.4878428,6.9638624,1,73,0,0
"AKANATOR PRI. SCH II (OYE MARKET SQUARE II), AYAMELUM, ANAMBRA",6.7354998,7.012289,0,133,2,3
"AMA AGBAJA SQUARE II, AYAMELUM, ANAMBRA",6.4878428,6.9638624,0,131,0,0
